1,"Participant 102","Consistant","Target 1 Raw Latency",1263,4150,2839,1202,998,1513,2418,2184,952,1436,1310,1700,827,1295,1591,3401,1108,1467,3604,1404,3463,1700,4493,1809,1591,1217,1185,1435,1155,4056,1311,1997
1,"Participant 102","Consistant","Target 2 Raw Latency",1138,1607,8845,2574,2122,1373,1638,1638,1045,1653,2902,1560,1404,4586,2886,1139,1311,1529,2293,2995,1061,1342,1389,2293,1919,1513,1280,2262,1248,1794,1248,1701
1,"Participant 102","Consistant","Target 3 Raw Latency",1482,1872,1404,1310,1138,1997,1451,1248,2418,2793,1747,967,3448,1248,1077,1326,1482,1326,1607,1279,3869,2558,1809,1342,1186,1279,1170,1669,1076,2356,1046,1981
1,"Participant 102","Consistant","Target 4 Raw Latency",983,1825,1466,1389,1232,2184,2823,1326,1108,1435,1498,2652,1030,5679,1591,1420,1107,1918,1295,1357,1232,5663,1451,6365,1342,1482,1498,1030,2434,1202,1810,4524
1,"Participant 102","Consistant","Target 5 Raw Latency",1295,2356,2184,1279,1388,3089,1950,1373,811,3401,1342,1139,1123,4103,1404,2637,1779,1965,1575,2168,1232,1498,3837,2278,936,5319,1607,4368,1108,6302,2215,999
1,"Participant 102","Consistant","Target 6 Raw Latency",936,1107,1560,1186,1310,1404,2434,1826,1060,1373,1232,999,2340,1341,2340,1747,1856,1217,1888,1076,1014,1778,1170,1451,1575,1592,2590,1576,983,1466,1186,1061
1,"Participant 102","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 102","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 102","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 102","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 102","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 102","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 102","Consistant","Target 1 Accuracy","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct"
1,"Participant 102","Consistant","Target 2 Accuracy",,"Correct","Correct","Correct","Wrong","Correct",,"Correct","Correct",,"Correct",,,"Correct","Correct","Wrong","Correct","Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct"
1,"Participant 102","Consistant","Target 3 Accuracy","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 102","Consistant","Target 4 Accuracy","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Wrong",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Wrong",,"Correct","Correct","Correct"
1,"Participant 102","Consistant","Target 5 Accuracy","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",
1,"Participant 102","Consistant","Target 6 Accuracy","Correct",,"Correct","Correct","Correct",,,"Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,,"Correct"
1,"Participant 102","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 102","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 102","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 102","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 102","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 102","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
